transaction_id,category,amount,hour_of_day,payment_method,decline_code,customer_past_success_rate,is_treated,actually_resolved,is_ambiguous,gt_would_self_resolve,gt_nudge_effectiveness,gt_sleeping_dog,gt_true_root_cause
990b7372-2c58-4a1f-a9e0-d644aa85d8ed,checkout,12258.73,8,upi,U28,0.884,True,False,False,False,0.55,False,
cfc4d984-bfa0-4037-994d-5185540f3322,checkout,12162.97,12,upi,U69,0.676,False,False,False,False,0.65,False,
0164de4f-e473-4432-91d7-a0036093388f,subscription,499.0,5,upi_mandate,mandate_paused,0.791,True,True,False,False,0.4,False,
48d72c80-7b14-413f-9a70-c6aefaed75bd,receivable,119694.61,2,bank_transfer,overdue_no_dispute,0.707,True,False,False,False,0.35,False,
c4269757-e5f2-4c5c-9e5e-794d4c524fdf,checkout,11015.05,3,upi,Z9,0.851,False,True,False,True,0.45,False,
d2947b02-0a80-4523-832b-cad00831a200,subscription,299.0,19,card,mandate_expired,0.923,True,True,False,False,0.4,False,
b997f838-dd38-454e-8785-f029fa6bd1c0,checkout,1267.23,15,upi,U69,0.957,False,False,False,False,0.65,False,
847150a5-7d9c-4614-b7e2-67ce19b506bf,subscription,999.0,12,upi_mandate,mandate_expired,0.889,False,False,False,False,0.4,False,
8de542bb-cbb8-4f4a-867e-b377abae5c19,checkout,13871.68,12,upi,Z9,0.814,False,False,False,False,0.45,False,
44525507-05d8-4c5d-8275-7a7cd09e9047,checkout,3065.38,9,upi,U69,0.756,False,False,False,False,0.65,False,
34d1bc44-2419-4113-bee9-b90e60c8f3b3,subscription,2499.0,9,card,mandate_expired,0.889,False,False,False,False,0.4,False,
fbd07271-3e7d-4fb6-9877-f1d61bac8962,checkout,8601.14,18,card,Z9,0.852,True,False,False,False,0.45,False,
c96ca91a-37ac-46f2-b24f-62b36c255548,checkout,6494.71,17,card,Z9,0.81,False,False,False,False,0.45,False,
b3eaa53a-a715-4e7c-b42c-50e158398d32,receivable,213998.61,12,bank_transfer,overdue_no_dispute,0.836,False,False,False,False,0.35,False,
03592941-38c8-4ac6-a78f-8c0b510e940a,subscription,1499.0,20,upi_mandate,mandate_paused,0.879,True,True,False,True,0.4,False,
785ba00a-0fb4-4817-9331-a27b9eb201bf,checkout,13304.09,17,card,U69,0.645,True,False,False,False,0.65,False,
eff10a16-37c0-4ddb-aba1-33462f2612cf,checkout,13873.18,19,upi,U69,0.947,False,False,False,False,0.65,False,
18a4581c-9ab1-4252-b017-2f5b4316c2a6,checkout,12458.02,18,card,ERR-BNK-0009,0.935,False,False,True,False,0.65,False,TIMING_ATTENTION
